0,0.788,0.48
1,0.854,0.484
2,0.934,0.498
3,0.898,0.564
4,0.782,0.552
5,0.948,0.626
6,0.856,0.638
7,0.764,0.638
8,0.84,0.722
9,0.928,0.69
10,0.862,0.8
11,0.778,0.738
12,0.698,0.722
13,0.732,0.798
14,0.804,0.88
15,0.69,0.934
16,0.68,0.854
17,0.586,0.784
18,0.63,0.878
19,0.56,0.974
20,0.528,0.9
21,0.478,0.8
22,0.436,0.882
23,0.446,0.976
24,0.33,0.948
25,0.37,0.882
26,0.366,0.76
27,0.326,0.826
28,0.302,0.892
29,0.208,0.864
30,0.26,0.776
31,0.34,0.732
32,0.262,0.65
33,0.206,0.71
34,0.162,0.804
35,0.092,0.706
36,0.16,0.628
37,0.236,0.622
38,0.212,0.57
39,0.104,0.636
40,0.028,0.576
41,0.14,0.552
42,0.214,0.492
43,0.114,0.496
44,0.024,0.46
45,0.066,0.33
46,0.136,0.426
47,0.242,0.382
48,0.17,0.296
49,0.148,0.184
50,0.214,0.226
51,0.302,0.274
52,0.288,0.216
53,0.232,0.174
54,0.266,0.096
55,0.332,0.16
56,0.38,0.23
57,0.412,0.166
58,0.364,0.102
59,0.416,0.034
60,0.48,0.096
61,0.484,0.214
62,0.51,0.152
63,0.558,0.046
64,0.594,0.114
65,0.69,0.078
66,0.666,0.172
67,0.56,0.242
68,0.668,0.24
69,0.776,0.158
70,0.772,0.236
71,0.882,0.196
72,0.734,0.316
73,0.822,0.314
74,0.898,0.268
75,0.904,0.376
76,0.854,0.414
77,0.774,0.39

